# Created by WEAP: 3/19/2020 3:28:53 PM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: Upper Missouri (1,541,200 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (3,455 ha),  1000 - 2000 m (1,369,426 ha),  2000 - 3000 m (168,320 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 0 to 1000 m, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 0 to 1000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 0 to 1000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m
1961, 7, 21.77, 19.94, 17.16, 34.27, 25.62, 26.89, 2.586, 2.425, 2.412
1961, 8, 23.26, 21.02, 18.22, 8.207, 13.01, 15.9, 2.287, 2.194, 2.194
1961, 9, 12.09, 10.34, 7.879, 43.91, 51.88, 55.09, 3.576, 3.415, 3.369
1961, 10, 9.861, 7.978, 5.116, 12.68, 13.82, 21.62, 4.529, 4.154, 4.048
1961, 11, 0.5558, -1.027, -3.405, 25.11, 24.81, 29.76, 4.566, 4.162, 4.027
1961, 12, -5.958, -6.497, -8.094, 5.406, 7.564, 12.33, 4.996, 4.676, 4.58
1962, 1, -5.213, -6.086, -8.434, 19.11, 24.76, 30.13, 5.388, 4.772, 4.6
1962, 2, -4.097, -5.068, -6.793, 14.53, 17.66, 22.74, 3.483, 3.285, 3.239
1962, 3, -2.05, -2.915, -4.862, 10.54, 17.54, 21.26, 3.352, 3.133, 3.065
1962, 4, 10.42, 8.306, 5.539, 12.46, 19.9, 22.36, 3.725, 3.517, 3.463
1962, 5, 11.72, 9.714, 7.07, 91.84, 95.44, 100.2, 3.072, 2.917, 2.879
1962, 6, 18.05, 15.56, 12.58, 49.25, 58.77, 66.49, 2.866, 2.8, 2.808
1962, 7, 19.35, 17.22, 14.52, 43.88, 41.53, 38.56, 2.324, 2.347, 2.384
1962, 8, 21.03, 18.41, 15.3, 28.19, 29.42, 28.43, 3.09, 2.976, 2.971
1962, 9, 14.89, 12.93, 10.53, 8.249, 10.53, 21.11, 3.389, 3.248, 3.195
1962, 10, 11.72, 9.784, 7.03, 24.37, 33.55, 37.5, 3.782, 3.55, 3.472
1962, 11, 6.325, 3.909, 1.179, 7.424, 14.85, 21.26, 4.435, 4.057, 3.961
1962, 12, 1.114, 0.01531, -1.935, 5.338, 9.467, 17.54, 4.772, 4.336, 4.193
1963, 1, -10.05, -10.55, -12.5, 22.04, 33.26, 41.51, 4.902, 4.462, 4.324
1963, 2, 3.906, 2.776, 0.212, 11.32, 7.7, 9.783, 4.641, 4.302, 4.168
1963, 3, 5.208, 3.159, 0.4822, 8.97, 8.289, 17.21, 4.155, 3.789, 3.684
1963, 4, 7.255, 5.228, 2.838, 19.66, 26.51, 26.4, 3.52, 3.352, 3.293
1963, 5, 12.65, 10.6, 8.056, 27.03, 35.86, 42.6, 2.81, 2.678, 2.673
1963, 6, 17.31, 15.11, 12.3, 85.91, 91.39, 96.26, 2.847, 2.776, 2.787
1963, 7, 21.59, 19, 15.95, 30.97, 22.48, 21.8, 2.698, 2.611, 2.625
1963, 8, 21.03, 18.66, 15.95, 22.15, 18.49, 14.34, 2.436, 2.281, 2.247
1963, 9, 18.98, 16.56, 14.01, 21.97, 26.51, 27.83, 2.511, 2.312, 2.262
1963, 10, 13.4, 11.39, 8.734, 12.26, 11.56, 15.14, 3.221, 2.954, 2.917
1963, 11, 4.65, 3.069, 0.6991, 4.117, 5.766, 10.8, 4.622, 4.327, 4.238
1963, 12, -4.283, -5.091, -7.027, 19.2, 24.78, 29.34, 4.267, 3.934, 3.814
1964, 1, -1.864, -2.557, -4.382, 12.03, 13.82, 19.07, 5.444, 5.018, 4.888
1964, 2, 1.859, 0.3567, -2.399, 6.008, 10.8, 15.64, 5.743, 5.082, 4.886
1964, 3, -1.305, -2.76, -5.082, 28.12, 23.22, 23.96, 4.193, 3.937, 3.871
1964, 4, 6.883, 5.004, 2.382, 39.52, 39.88, 43.45, 3.931, 3.754, 3.696
1964, 5, 13.21, 10.8, 8.098, 92.63, 119.2, 126.3, 3.744, 3.529, 3.502
1964, 6, 17.31, 14.87, 12.04, 101.5, 124.9, 132.3, 2.791, 2.764, 2.797
1964, 7, 22.14, 19.84, 16.79, 34.38, 33.48, 34.39, 2.399, 2.323, 2.333
1964, 8, 18.98, 16.64, 13.51, 31.99, 31.15, 34.9, 3.202, 3.046, 3.024
