# Created by WEAP: 8/4/2020 8:37:58 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: Lwr Coolee Interior (1,144,723 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,144,723 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Tavg[C]:Elevation 0 to 1000 m, wind[m/s]:Elevation 0 to 1000 m
2013, 2, 8.43, 2.193, 2.997
2013, 3, 19.16, 6.472, 2.693
2013, 4, 15.27, 10.05, 2.697
2013, 5, 23.02, 15.46, 1.921
2013, 6, 41.06, 18.43, 2.12
2013, 7, 1.063, 25.03, 2.216
2013, 8, 19.67, 23.6, 1.879
2013, 9, 24.51, 19.16, 2.558
2013, 10, 2.87, 9.99, 1.844
2013, 11, 20.1, 2.907, 3.099
2013, 12, 7.476, -3.537, 3.244
